,module name,input shape,output shape,params,memory(MB),MAdd,FLOPs,MemRead(B),MemWrite(B),duration(s),duration[%],MemR+W(B)
0,encoder_0.double_conv.conv_block_1.conv.conv_h2h,"[  3,512,512]","[ 16,512,512]",448,16.00,"226,492,416","117,440,512",3147520,16777216,0.00710296630859375,0.91%,19924736
1,encoder_0.double_conv.conv_block_1.conv.downsample_h2l,"[  3,512,512]","[  3,256,256]",0,0.75,"786,432","786,432",3145728,786432,0.0011730194091796875,0.15%,3932160
2,encoder_0.double_conv.conv_block_1.conv.conv_h2l,"[  3,256,256]","[ 48,256,256]",1344,12.00,"169,869,312","88,080,384",791808,12582912,0.003925323486328125,0.50%,13374720
3,encoder_0.double_conv.conv_block_1.batch_norm.batch_norm_h2h,"[ 16,512,512]","[ 16,512,512]",32,16.00,"16,777,216","8,388,608",16777344,16777216,0.013198614120483398,1.69%,33554560
4,encoder_0.double_conv.conv_block_1.batch_norm.batch_norm_l2l,"[ 48,256,256]","[ 48,256,256]",96,12.00,"12,582,912","6,291,456",12583296,12582912,0.009613990783691406,1.23%,25166208
5,encoder_0.double_conv.conv_block_1.act_fn.relu_h2h,"[ 16,512,512]","[ 16,512,512]",0,16.00,"4,194,304","4,194,304",16777216,16777216,0.0014493465423583984,0.19%,33554432
6,encoder_0.double_conv.conv_block_1.act_fn.relu_l2l,"[ 48,256,256]","[ 48,256,256]",0,12.00,"3,145,728","3,145,728",12582912,12582912,0.0010671615600585938,0.14%,25165824
7,encoder_0.double_conv.conv_block_2.conv.conv_h2h,"[ 16,512,512]","[ 16,512,512]",2320,16.00,"1,207,959,552","608,174,080",16786496,16777216,0.008094072341918945,1.03%,33563712
8,encoder_0.double_conv.conv_block_2.conv.conv_l2l,"[ 48,256,256]","[ 48,256,256]",20784,12.00,"2,717,908,992","1,362,100,224",12666048,12582912,0.009716033935546875,1.24%,25248960
9,encoder_0.double_conv.conv_block_2.conv.downsample_h2l,"[ 16,512,512]","[ 16,256,256]",0,4.00,"4,194,304","4,194,304",16777216,4194304,0.001012563705444336,0.13%,20971520
10,encoder_0.double_conv.conv_block_2.conv.conv_h2l,"[ 16,256,256]","[ 48,256,256]",6960,12.00,"905,969,664","456,130,560",4222144,12582912,0.005090951919555664,0.65%,16805056
11,encoder_0.double_conv.conv_block_2.conv.conv_l2h,"[ 48,256,256]","[ 16,256,256]",6928,4.00,"905,969,664","454,033,408",12610624,4194304,0.004446268081665039,0.57%,16804928
12,encoder_0.double_conv.conv_block_2.conv.upsample_l2h,"[ 16,256,256]","[ 16,512,512]",0,16.00,0,"262,144",0,0,0.02319931983947754,2.97%,0
13,encoder_0.double_conv.conv_block_2.batch_norm.batch_norm_h2h,"[ 16,512,512]","[ 16,512,512]",32,16.00,"16,777,216","8,388,608",16777344,16777216,0.004469156265258789,0.57%,33554560
14,encoder_0.double_conv.conv_block_2.batch_norm.batch_norm_l2l,"[ 48,256,256]","[ 48,256,256]",96,12.00,"12,582,912","6,291,456",12583296,12582912,0.0033071041107177734,0.42%,25166208
15,encoder_0.double_conv.conv_block_2.act_fn.relu_h2h,"[ 16,512,512]","[ 16,512,512]",0,16.00,"4,194,304","4,194,304",16777216,16777216,0.0007889270782470703,0.10%,33554432
16,encoder_0.double_conv.conv_block_2.act_fn.relu_l2l,"[ 48,256,256]","[ 48,256,256]",0,12.00,"3,145,728","3,145,728",12582912,12582912,0.0005853176116943359,0.07%,25165824
17,encoder_1.downsample.avg_pool_h2h,"[ 16,512,512]","[ 16,256,256]",0,4.00,"4,194,304","4,194,304",16777216,4194304,0.0009925365447998047,0.13%,20971520
18,encoder_1.downsample.avg_pool_l2l,"[ 48,256,256]","[ 48,128,128]",0,3.00,"3,145,728","3,145,728",12582912,3145728,0.0008058547973632812,0.10%,15728640
19,encoder_1.double_conv.conv_block_1.conv.conv_h2h,"[ 16,256,256]","[ 32,256,256]",4640,8.00,"603,979,776","304,087,040",4212864,8388608,0.004391670227050781,0.56%,12601472
20,encoder_1.double_conv.conv_block_1.conv.conv_l2l,"[ 48,128,128]","[ 96,128,128]",41568,6.00,"1,358,954,496","681,050,112",3312000,6291456,0.005082845687866211,0.65%,9603456
21,encoder_1.double_conv.conv_block_1.conv.downsample_h2l,"[ 16,256,256]","[ 16,128,128]",0,1.00,"1,048,576","1,048,576",4194304,1048576,0.00032401084899902344,0.04%,5242880
22,encoder_1.double_conv.conv_block_1.conv.conv_h2l,"[ 16,128,128]","[ 96,128,128]",13920,6.00,"452,984,832","228,065,280",1104256,6291456,0.003384113311767578,0.43%,7395712
23,encoder_1.double_conv.conv_block_1.conv.conv_l2h,"[ 48,128,128]","[ 32,128,128]",13856,2.00,"452,984,832","227,016,704",3201152,2097152,0.0026946067810058594,0.34%,5298304
24,encoder_1.double_conv.conv_block_1.conv.upsample_l2h,"[ 32,128,128]","[ 32,256,256]",0,8.00,0,"65,536",0,0,0.011054515838623047,1.41%,0
25,encoder_1.double_conv.conv_block_1.batch_norm.batch_norm_h2h,"[ 32,256,256]","[ 32,256,256]",64,8.00,"8,388,608","4,194,304",8388864,8388608,0.002321958541870117,0.30%,16777472
26,encoder_1.double_conv.conv_block_1.batch_norm.batch_norm_l2l,"[ 96,128,128]","[ 96,128,128]",192,6.00,"6,291,456","3,145,728",6292224,6291456,0.001661539077758789,0.21%,12583680
27,encoder_1.double_conv.conv_block_1.act_fn.relu_h2h,"[ 32,256,256]","[ 32,256,256]",0,8.00,"2,097,152","2,097,152",8388608,8388608,0.0003025531768798828,0.04%,16777216
28,encoder_1.double_conv.conv_block_1.act_fn.relu_l2l,"[ 96,128,128]","[ 96,128,128]",0,6.00,"1,572,864","1,572,864",6291456,6291456,0.0002551078796386719,0.03%,12582912
29,encoder_1.double_conv.conv_block_2.conv.conv_h2h,"[ 32,256,256]","[ 32,256,256]",9248,8.00,"1,207,959,552","606,076,928",8425600,8388608,0.005640745162963867,0.72%,16814208
30,encoder_1.double_conv.conv_block_2.conv.conv_l2l,"[ 96,128,128]","[ 96,128,128]",83040,6.00,"2,717,908,992","1,360,527,360",6623616,6291456,0.008096456527709961,1.04%,12915072
